Date, Open, High, Low, Close, Volume
04/24/24, 162.84, 167.97, 157.51, 162.13, 181178000
04/23/24, 143.33, 147.26, 141.11, 144.68, 124545102
04/22/24, 140.56, 144.44, 138.8025, 142.05, 107097602
04/19/24, 148.97, 150.94, 146.22, 147.05, 87074492
04/18/24, 151.25, 152.20, 148.70, 149.93, 96098828
04/17/24, 157.64, 158.33, 153.78, 155.45, 82439719
04/16/24, 156.742, 158.19, 153.75, 157.11, 96999961
04/15/24, 170.24, 170.69, 161.38, 161.48, 100245297
04/12/24, 172.34, 173.8099, 170.3644, 171.05, 64722672
04/11/24, 172.55, 175.88, 168.51, 174.60, 94515992
04/10/24, 173.04, 174.93, 170.01, 171.76, 84532406
04/09/24, 172.91, 179.22, 171.92, 176.88, 103232703
04/08/24, 169.34, 174.50, 167.79, 172.98, 104423297
04/05/24, 169.08, 170.86, 160.51, 164.90, 143157594
04/04/24, 170.07, 177.19, 168.01, 171.11, 123162000
04/03/24, 164.02, 168.82, 163.28, 168.38, 82950141
04/02/24, 164.75, 167.69, 163.43, 166.63, 116650602
04/01/24, 176.17, 176.75, 170.21, 175.22, 81562125
03/28/24, 177.45, 179.57, 175.30, 175.79, 77654844
03/27/24, 181.41, 181.91, 176.00, 179.83, 81804039
03/26/24, 178.58, 184.25, 177.38, 177.67, 113186203
03/25/24, 168.76, 175.24, 168.73, 172.63, 74228625
03/22/24, 166.69, 171.20, 166.30, 170.83, 75580641
03/21/24, 176.39, 178.18, 171.80, 172.82, 73178008
03/20/24, 173.00, 176.25, 170.82, 175.66, 83846727
03/19/24, 172.36, 172.82, 167.42, 171.32, 77271430
03/18/24, 170.02, 174.72, 165.90, 173.80, 108214398
03/15/24, 163.16, 165.1845, 160.76, 163.57, 97146828
03/14/24, 167.77, 171.17, 160.51, 162.50, 126325695
03/13/24, 173.05, 176.05, 169.15, 169.48, 106524492
03/12/24, 177.77, 179.43, 172.4101, 177.54, 87391680
03/11/24, 175.445, 182.87, 174.80, 177.77, 85391531
03/08/24, 181.50, 182.73, 174.70, 175.34, 85544641
03/07/24, 174.35, 180.04, 173.70, 178.65, 102129000
